mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver,mpa_name,mpa_type
338163877,2025-02-10 00:00:02,-120.85868,35.37121,0.4,75.0,,MORRO BAY PATROL,,,55.0,,10.0,2.0,,,B,Morro Bay SMRMA,SMRMA
366999859,2025-02-10 00:00:18,-120.85846,35.37085,0.0,115.8,,CG47280,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
211503810,2025-02-10 00:00:03,-120.85599,35.36799,0.5,34.4,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
366899260,2025-02-10 00:00:09,-119.55566,34.0495,0.1,181.5,,ISLAND ADVENTURE,IMO8346553,WDG9106,60.0,0.0,20.0,7.0,2.4,60.0,A,Scorpion SMR,SMR
366999858,2025-02-10 00:00:33,-120.85865,35.37096,0.0,123.5,,CG47231,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
366899260,2025-02-10 00:01:18,-119.55565,34.04955,0.2,184.5,,ISLAND ADVENTURE,IMO8346553,WDG9106,60.0,0.0,20.0,7.0,2.4,60.0,A,Scorpion SMR,SMR
368167990,2025-02-10 00:01:37,-117.89484,33.62188,0.0,155.9,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
366999859,2025-02-10 00:01:39,-120.85846,35.37084,0.0,115.8,,CG47280,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
338400762,2025-02-10 00:01:51,-117.89405,33.61986,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
338163877,2025-02-10 00:01:32,-120.85837,35.37108,1.1,319.8,,MORRO BAY PATROL,,,55.0,,10.0,2.0,,,B,Morro Bay SMRMA,SMRMA
338143454,2025-02-10 00:02:12,-120.85693,35.36983,0.1,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
366999858,2025-02-10 00:01:43,-120.85865,35.37096,0.0,123.5,,CG47231,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
366899260,2025-02-10 00:02:29,-119.55566,34.04953,0.2,179.4,,ISLAND ADVENTURE,IMO8346553,WDG9106,60.0,0.0,20.0,7.0,2.4,60.0,A,Scorpion SMR,SMR
367743080,2025-02-10 00:02:37,-118.85939,34.02366,0.3,280.7,257.0,PRODIGAL SON,,WDI8881,30.0,,21.0,7.0,,,B,Point Dume SMCA,SMCA
368173330,2025-02-10 00:02:33,-118.50501,33.43162,0.1,83.0,,CATBIRD,,WDL8831,36.0,,11.0,2.0,,,B,Cat Harbor SMCA,SMCA
368320160,2025-02-10 00:01:40,-120.85717,35.37006,0.0,229.1,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
338174439,2025-02-10 00:02:54,-117.89512,33.61944,0.0,32.9,,ANN-ELYSE,,,37.0,,10.0,7.0,,,B,Upper Newport Bay SMCA,SMCA
338163877,2025-02-10 00:03:27,-120.85854,35.371,0.6,285.4,,MORRO BAY PATROL,,,55.0,,10.0,2.0,,,B,Morro Bay SMRMA,SMRMA
366999859,2025-02-10 00:02:59,-120.85847,35.37085,0.0,115.8,,CG47280,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
366999858,2025-02-10 00:02:53,-120.85865,35.37097,0.0,123.5,,CG47231,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
366899260,2025-02-10 00:03:39,-119.55525,34.04987,1.8,35.9,,ISLAND ADVENTURE,IMO8346553,WDG9106,60.0,0.0,20.0,7.0,2.4,60.0,A,Scorpion SMR,SMR
368167990,2025-02-10 00:04:39,-117.89484,33.62188,0.0,155.9,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
366999859,2025-02-10 00:04:09,-120.85846,35.37085,0.0,115.8,,CG47280,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
338163877,2025-02-10 00:04:56,-120.8586,35.37109,0.5,207.2,,MORRO BAY PATROL,,,55.0,,10.0,2.0,,,B,Morro Bay SMRMA,SMRMA
367107830,2025-02-10 00:04:47,-120.85637,35.36989,0.0,,,PAPAGALLO II,,WDC9874,60.0,,24.0,6.0,,,B,Morro Bay SMRMA,SMRMA
338400762,2025-02-10 00:04:51,-117.89408,33.61985,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
366999859,2025-02-10 00:05:18,-120.85846,35.37086,0.0,115.8,,CG47280,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
366999858,2025-02-10 00:04:04,-120.85865,35.37097,0.0,123.5,,CG47231,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
366899260,2025-02-10 00:05:51,-119.54751,34.05494,18.5,48.2,,ISLAND ADVENTURE,IMO8346553,WDG9106,60.0,0.0,20.0,7.0,2.4,60.0,A,Scorpion SMR,SMR
368320160,2025-02-10 00:04:40,-120.85716,35.37006,0.0,236.3,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
338143454,2025-02-10 00:05:08,-120.85693,35.36984,0.1,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
366899260,2025-02-10 00:04:49,-119.55292,34.05175,18.5,52.8,,ISLAND ADVENTURE,IMO8346553,WDG9106,60.0,0.0,20.0,7.0,2.4,60.0,A,Scorpion SMR,SMR
366999858,2025-02-10 00:05:13,-120.85865,35.37096,0.0,123.5,,CG47231,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
367743080,2025-02-10 00:05:37,-118.85939,34.02365,0.4,230.3,245.0,PRODIGAL SON,,WDI8881,30.0,,21.0,7.0,,,B,Point Dume SMCA,SMCA
338392591,2025-02-10 00:05:23,-117.89711,33.62134,0.0,2.3,,SAY ANYTHING,,,37.0,,10.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
338163877,2025-02-10 00:06:00,-120.85832,35.37098,1.0,118.0,,MORRO BAY PATROL,,,55.0,,10.0,2.0,,,B,Morro Bay SMRMA,SMRMA
211503810,2025-02-10 00:06:04,-120.85604,35.36792,0.6,21.3,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
366999858,2025-02-10 00:06:25,-120.85865,35.37096,0.0,123.5,,CG47231,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
366999858,2025-02-10 00:07:34,-120.85865,35.37096,0.0,123.5,,CG47231,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
338163877,2025-02-10 00:07:29,-120.85838,35.371,0.4,110.0,,MORRO BAY PATROL,,,55.0,,10.0,2.0,,,B,Morro Bay SMRMA,SMRMA
367743080,2025-02-10 00:08:37,-118.85937,34.02365,0.8,336.3,255.0,PRODIGAL SON,,WDI8881,30.0,,21.0,7.0,,,B,Point Dume SMCA,SMCA
366999859,2025-02-10 00:07:39,-120.85846,35.37086,0.0,115.8,,CG47280,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
368167990,2025-02-10 00:07:37,-117.89486,33.62189,0.0,155.9,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
338143454,2025-02-10 00:08:06,-120.85693,35.36983,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
368320160,2025-02-10 00:07:40,-120.85716,35.37006,0.0,242.2,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
366999859,2025-02-10 00:06:29,-120.85846,35.37085,0.0,115.8,,CG47280,,,51.0,0.0,14.0,4.0,1.4,51.0,A,Morro Bay SMRMA,SMRMA
211503810,2025-02-10 00:09:03,-120.85595,35.36801,0.2,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
