mmsi,vessel_name,reason
368164530,ANGELS PILOT,harbor pilot
338145686,BAYWATCH 11,lifeguard
338145691,BAYWATCH 12,lifeguard
338145694,BAYWATCH 15,lifeguard
338145695,BAYWATCH 16,lifeguard
338118971,BAYWATCH 17,lifeguard
338145697,BAYWATCH 18,lifeguard
338449111,BAYWATCH 20,lifeguard
338449112,BAYWATCH 21,lifeguard
338450325,BERKELEY FIRE BOAT,fire department
368077080,DAWN PATROL,patrol/enforcement
368168140,EMOTIONAL RESCUE,search and rescue
368364250,ENFORCER,patrol/enforcement
265036460,ENFORCER 3.1,patrol/enforcement
368019170,FIELD RESEARCH,research vessel
368926482,FIRE BOAT 2,fire department
367760290,FIREBOAT 15,fire department
338429028,FIREBOAT 17,fire department
367733650,FIREBOAT 3,fire department
366081959,FIREBOAT 3,fire department
338145698,FIREBOAT 310,fire department
367133910,FIREBOAT 4,fire department
338142431,FIREBOAT GUARDIAN,fire department
338159944,FIREBOAT LIBERTY,fire department
366899260,ISLAND ADVENTURE,Channel Islands excursion operator
366813530,ISLANDER,Channel Islands excursion operator
368226970,LA FIREBOAT 2,fire department
338093828,LA FIREBOAT 5,fire department
338361342,MARINE PATROL #1,patrol/enforcement
338361343,MARINE PATROL #2,patrol/enforcement
338509279,MORE FIELD RESEARCH,research vessel
538005521,MORNING PILOT,harbor pilot
338163877,MORRO BAY PATROL,patrol/enforcement
338354317,PILOT,harbor pilot
367426120,PILOT BOAT DRAKE,harbor pilot
368024740,PILOT BOAT ORION,harbor pilot
368159190,PILOT BOAT POLARIS 3,harbor pilot
368926388,PILOT LINE #1,harbor pilot
366745450,RESCUE BOAT 126,search and rescue
366745460,RESCUE BOAT 127,search and rescue
366745470,RESCUE BOAT 128,search and rescue
368095620,RESCUE BOAT 129,search and rescue
366745490,RESCUE BOAT 133,search and rescue
338358279,RESCUE BOAT 81,search and rescue
368180970,RESCUE JET SKI 28C,search and rescue
338432955,RESCUE JET SKI 28D,search and rescue
338174911,RESEARCH 1,research vessel
338452582,SAN JOAQUIN SHERIFF,law enforcement
338490727,SD PILOT BOAT,harbor pilot
338099989,SFFD AIRPORT RESCUE,search and rescue
338162526,SOLANO SHERIFF M29,law enforcement
338155795,SONOMA SHERIFF BOAT1,law enforcement
338155794,SONOMA SHERIFF BOAT2,law enforcement
338155803,TOWBOAT US AVALON,commercial tow
338192665,TOWBOAT US CATALINA,commercial tow
338155798,TOWBOATUS ISTHMUS,commercial tow
338486064,TOWBOATUS RINCON,commercial tow
338169735,TOWBOATUS SANFRAN,commercial tow
338031362,VESSEL ASSIST G GATE,commercial tow
338458174,VESSEL ASSIST NEWPOR,commercial tow
