# 24-hour MPA fishing-entry forecast for 2024-06-03. 1729 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 338467817 (UNNAMED), 0.9 km from Año Nuevo SMR with a risk score of 1.00, driven by: traffic_within_10km; dist_to_mpa_m; day_of_week.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
338467817,UNNAMED,1.0,Año Nuevo SMR,895.015,5.7,278.3,False,3.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 18:00:29,37.094,-122.36
367104040,KNOX T,1.0,Goleta Slough SMCA (No-Take),1178.448,0.5,50.8,False,1.0,0.0,traffic_within_10km; dist_to_mpa_m; heading,2024-06-03 00:00:02,34.407,-119.823
367565750,ISLAND EXPLORER,0.995,Carrington Point SMR,0.926,0.1,303.9,False,2.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 18:01:10,34.008,-120.047
367002510,PILLAR BAY,0.984,Point Cabrillo SMR,1087.059,6.4,340.3,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 00:00:22,39.348,-123.846
367534910,OCEAN SENTINEL,0.954,Anacapa Island FMR,19802.33,6.4,223.3,True,0.0,0.0,tide_height_m; dist_to_mpa_m; day_of_week,2024-06-03 15:17:33,34.247,-119.271
338451298,RAGTAG,0.939,Blue Cavern Offshore SMCA,343.51,5.1,50.6,False,0.0,0.0,dist_to_mpa_m; traffic_within_10km; day_of_week,2024-06-03 18:00:15,33.516,-118.491
338198613,LA BONNE VIE,0.871,Scorpion SMR,48.85,0.5,150.2,False,0.0,0.0,traffic_within_10km; sog; dist_to_mpa_m,2024-06-03 16:28:56,34.046,-119.546
368237740,SAILCATION,0.864,Double Point/Stormy Stack Rock Special Closure,3439.61,6.3,358.9,False,0.0,0.0,traffic_within_10km; day_of_week; heading,2024-06-03 06:01:16,37.944,-122.826
565661000,MAERSK ANTARES,0.732,Abalone Cove SMCA,12036.152,5.7,90.6,False,0.0,0.0,sog; traffic_within_10km; day_of_week,2024-06-03 18:00:07,33.598,-118.291
338366845,LOKI,0.729,Anacapa Island FMR,19740.116,0.0,360.0,False,0.0,0.0,dist_to_mpa_m; wind_dir_deg; day_of_week,2024-06-03 14:22:02,34.243,-119.263
367130890,RAPTOR,0.693,Anacapa Island FMR,19491.686,0.0,168.1,False,4.0,0.0,dist_to_mpa_m; heading; day_of_week,2024-06-03 18:02:51,34.241,-119.264
367392650,NORDSAIL ONE,0.603,Famosa Slough SMCA (No-Take),2835.984,0.8,360.0,True,0.0,0.0,heading; tide_height_m; day_of_week,2024-06-03 00:57:03,32.724,-117.224
367001830,TERRI L BRUSCO,0.599,Piedras Blancas SMCA,1085.856,7.2,319.2,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:00:10,35.719,-121.39
338237612,RVH,0.591,Bodega Head SMR,1179.091,0.0,360.0,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:12:35,38.33,-123.056
338441706,,0.557,San Diego-Scripps Coastal SMCA,245.03,0.1,129.2,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 20:50:12,32.87,-117.251
366808340,CALIFORNIA,0.552,Duxbury Reef SMCA,11811.56,2.3,326.6,True,0.0,0.0,traffic_within_10km; day_of_week; heading,2024-06-03 18:00:06,37.787,-122.674
338330992,TOW BIZZ II,0.528,Upper Newport Bay SMCA,1794.044,0.0,246.2,False,0.0,0.0,dist_to_mpa_m; cog; wind_dir_deg,2024-06-03 12:01:34,33.613,-117.924
338145694,BAYWATCH 15,0.445,Point Dume SMR,10702.35,0.2,326.9,False,2.0,0.0,traffic_within_10km; day_of_week; dist_to_mpa_m,2024-06-03 17:02:06,34.033,-118.673
338148641,LELILA II,0.347,Anacapa Island FMR,15648.185,0.0,360.0,False,0.0,0.0,tide_height_m; dist_to_mpa_m; day_of_week,2024-06-03 15:37:29,34.174,-119.227
367104050,RYAN T,0.314,Kashtayit SMCA,11013.133,0.8,330.6,True,0.0,0.0,traffic_within_10km; day_of_week; wind_dir_deg,2024-06-03 06:00:05,34.39,-120.118
368114540,KING OF NOTHING,0.278,Point Reyes SMCA,1253.201,7.5,275.3,False,5.0,0.0,traffic_within_10km; day_of_week; dist_to_mpa_m,2024-06-03 06:01:26,37.972,-122.976
367439280,SEA WOLF II,0.231,Soquel Canyon SMCA,788.997,1.4,101.8,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 18:00:21,36.793,-121.942
366892000,JAMIE ANN,0.225,Bolsa Bay SMCA,15479.061,0.1,326.7,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:00:07,33.771,-118.212
367655170,PACIFIC STAR,0.214,Arrow Point to Lion Head Point SMCA,659.558,1.6,19.4,False,3.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 06:00:07,33.479,-118.525
338238542,ADVENTURE,0.201,Upper Newport Bay SMCA,1796.919,0.0,217.2,False,1.0,0.0,dist_to_mpa_m; wind_dir_deg; cog,2024-06-03 12:01:01,33.613,-117.924
338478209,DOCK HOILDAY,0.166,Laguna Beach SMCA (No-Take),698.378,1.5,326.6,False,0.0,0.0,traffic_within_10km; sog; dist_to_mpa_m,2024-06-03 00:00:07,33.518,-117.811
316039394,ARAMIS,0.139,Footprint SMR,2469.168,6.4,311.6,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 00:00:26,34.01,-119.521
367691350,ANDIAMO,0.137,Upper Newport Bay SMCA,1800.266,0.0,237.4,False,0.0,0.0,cog; dist_to_mpa_m; traffic_within_10km,2024-06-03 06:03:49,33.613,-117.924
366755020,ADMIRAL,0.133,Point Vicente SMCA (No-Take),17581.454,0.7,59.3,False,0.0,0.0,dist_to_mpa_m; heading; day_of_week,2024-06-03 18:00:02,33.905,-118.455
366971000,YAQUINA,0.105,Morro Bay SMRMA,62.312,0.8,197.6,False,1.0,0.0,traffic_within_10km; dist_to_mpa_m; sog,2024-06-03 00:00:03,35.369,-120.863
338228058,WOMAN IN THE WAVES,0.071,Swami's SMCA,2585.173,7.9,347.3,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 18:00:39,32.98,-117.353
367393250,APPLE,0.07,Arrow Point to Lion Head Point SMCA,113.199,0.3,124.0,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; sog,2024-06-03 01:23:29,33.467,-118.526
367612650,ENDURANCE,0.045,Anacapa Island FMR,19706.439,0.0,54.2,False,0.0,0.0,dist_to_mpa_m; day_of_week; cog,2024-06-03 18:02:57,34.243,-119.264
477770700,COSCO MALAYSIA,0.04,Bolsa Bay SMCA,14905.56,0.1,209.2,False,0.0,0.0,dist_to_mpa_m; heading; day_of_week,2024-06-03 00:00:10,33.753,-118.214
368051830,LANI KAI,0.039,Upper Newport Bay SMCA,1106.319,0.1,296.4,False,0.0,0.0,tide_height_m; heading; day_of_week,2024-06-03 16:03:17,33.607,-117.908
367515670,BLACK HAWK,0.038,Big Creek SMR,13008.442,6.7,318.0,False,0.0,0.0,traffic_within_10km; tide_height_m; day_of_week,2024-06-03 06:01:09,36.007,-121.801
368155570,PARLAY,0.035,Upper Newport Bay SMCA,591.009,0.0,270.7,False,0.0,0.0,cog; wind_dir_deg; day_of_week,2024-06-03 12:01:09,33.61,-117.896
367380450,JOY,0.03,Anacapa Island FMR,19791.948,0.0,71.9,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 18:01:39,34.244,-119.263
367305920,SANDRA HUGH,0.03,Robert W. Crown SMCA,6805.255,0.1,176.9,False,0.0,0.0,heading; tide_height_m; day_of_week,2024-06-03 18:00:07,37.804,-122.342
338303696,DARK SIDE,0.026,Crystal Cove SMCA,1321.38,0.0,228.4,False,0.0,0.0,wind_dir_deg; cog; dist_to_mpa_m,2024-06-03 12:05:32,33.601,-117.889
367016050,MAKO,0.024,Anacapa Island FMR,19603.102,3.3,44.6,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:39:34,34.242,-119.264
368032550,IBIZA,0.023,Bolsa Bay SMCA,15275.939,0.0,360.0,False,0.0,0.0,dist_to_mpa_m; traffic_within_10km; day_of_week,2024-06-03 00:00:02,33.773,-118.209
338236389,FREJA,0.02,Anacapa Island FMR,19151.698,7.1,311.6,False,0.0,0.0,dist_to_mpa_m; sog; day_of_week,2024-06-03 00:00:27,34.09,-119.149
367698890,LBFD FB20,0.018,Bolsa Bay SMCA,15245.919,0.1,348.5,False,0.0,0.0,dist_to_mpa_m; sog; day_of_week,2024-06-03 06:01:34,33.77,-118.21
338434596,JOURNEY,0.017,Lover's Cove SMCA,337.047,0.2,360.0,False,0.0,0.0,day_of_week; traffic_within_10km; sog,2024-06-03 06:01:49,33.345,-118.326
367001740,CATALINA FLYER,0.016,Upper Newport Bay SMCA,1415.506,0.0,224.5,False,1.0,0.0,wind_dir_deg; cog; dist_to_mpa_m,2024-06-03 14:26:08,33.603,-117.899
368252690,DOS AMIGOS,0.016,Anacapa Island FMR,19779.706,0.1,360.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 18:01:40,34.243,-119.262
367328780,DELTA LINDA,0.013,Peytonia Slough SMP,19242.483,1.3,295.1,False,0.0,0.0,dist_to_mpa_m; sog; day_of_week,2024-06-03 06:00:03,38.047,-122.101
368291650,THE DOG HOUSE,0.011,Lover's Cove SMCA,163.81,0.1,360.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; heading,2024-06-03 06:02:35,33.346,-118.323
338602000,BALTIMORE,0.011,Abalone Cove SMCA,15026.588,0.1,218.0,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 00:00:10,33.773,-118.218
366813530,ISLANDER,0.01,Anacapa Island FMR,19813.805,0.0,182.5,True,1.0,0.0,dist_to_mpa_m; day_of_week; wind_dir_deg,2024-06-03 12:00:01,34.245,-119.264
366899260,ISLAND ADVENTURE,0.01,Anacapa Island FMR,19802.098,0.0,184.2,True,4.0,0.0,dist_to_mpa_m; day_of_week; wind_dir_deg,2024-06-03 12:00:10,34.245,-119.265
367678730,RISING STAR,0.01,Anacapa Island FMR,19633.469,0.0,106.8,False,0.0,0.0,dist_to_mpa_m; day_of_week; tide_height_m,2024-06-03 00:01:05,34.243,-119.264
