# 24-hour MPA fishing-entry forecast for 2024-08-12. 1879 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 367104040 (KNOX T), 1.0 km from Naples SMCA with a risk score of 1.00, driven by: prior_mpa_entries; traffic_within_10km; dist_to_mpa_m.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
367104040,KNOX T,0.996,Naples SMCA,1028.747,0.1,93.2,False,72.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 06:00:00,34.426,-119.922
367724740,LA ESPADA,0.987,Bolsa Chica Basin SMCA (No-Take),8643.562,19.4,325.0,False,76.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 00:01:06,33.615,-118.08
367565750,ISLAND EXPLORER,0.986,Gull Island SMR,443.488,19.5,275.2,False,130.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 18:00:02,33.971,-119.882
367655170,PACIFIC STAR,0.98,Point Vicente SMCA (No-Take),133.438,1.3,23.6,False,80.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 18:00:05,33.697,-118.395
368245430,WMT,0.98,Goleta Slough SMCA (No-Take),19975.0,14.3,260.3,True,53.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 00:28:23,34.369,-119.613
368320160,SOUVENIR,0.974,Point Dume SMCA,17448.888,9.8,113.5,True,67.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 18:00:08,34.047,-119.072
338140285,FISH THREE,0.971,Goleta Slough SMCA (No-Take),1257.84,46.7,34.0,False,41.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 13:34:46,34.435,-119.818
368052510,GENTLEMAN,0.971,Anacapa Island FMR,15208.32,0.0,82.2,False,102.0,0.0,prior_mpa_entries; peak_hour; traffic_within_10km,2024-08-12 18:00:03,34.164,-119.223
338486187,TIMELESS,0.965,Piedras Blancas SMCA,102.954,9.0,148.5,False,18.0,0.0,traffic_within_10km; prior_mpa_entries; dist_to_mpa_m,2024-08-12 00:00:27,35.662,-121.314
368247080,KAHUNA,0.965,Edward F. Ricketts SMCA,195.578,5.0,223.9,False,169.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 11:39:09,36.607,-121.889
235040642,COSMIC DANCER V,0.961,Point Reyes SMR,608.912,0.4,320.2,True,2.0,0.0,traffic_within_10km; prior_mpa_entries; dist_to_mpa_m,2024-08-12 06:59:42,38.023,-122.955
338010925,OCEAN RANGER,0.956,Santa Barbara Island SMR,775.44,0.0,333.1,False,70.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 18:00:06,33.482,-119.029
368926667,TEGULA,0.939,Point Lobos SMR,215.272,0.2,360.0,False,23.0,0.0,traffic_within_10km; prior_mpa_entries; dist_to_mpa_m,2024-08-12 18:00:47,36.511,-121.945
367161070,VANGUARD,0.938,Anacapa Island Special Closure,22.874,1.3,293.9,False,116.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 18:00:04,34.016,-119.362
368134480,PRINCESS MONTEREY,0.934,Portuguese Ledge SMCA,3509.406,2.1,117.5,False,125.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 00:00:05,36.706,-121.894
338140283,FISH ONE,0.927,Anacapa Island Special Closure,124.781,0.4,302.3,False,26.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 18:00:04,34.002,-119.398
368155440,SUNFISH,0.926,Anacapa Island Special Closure,80.678,0.1,360.0,False,67.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 18:06:01,34.006,-119.399
367737070,ATLANTIS MONTEREY,0.914,Portuguese Ledge SMCA,3776.126,5.9,98.3,False,117.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 13:36:12,36.707,-121.891
367599140,NIKKO,0.912,Arrow Point to Lion Head Point SMCA,89.181,1.3,360.0,False,10.0,0.0,dist_to_mpa_m; prior_mpa_entries; sog,2024-08-12 12:11:03,33.462,-118.521
338485555,WILDKAT,0.911,Matlahuayl SMR,7.973,0.1,254.6,False,3.0,0.0,traffic_within_10km; prior_mpa_entries; dist_to_mpa_m,2024-08-12 18:05:27,32.852,-117.273
367548420,KESTREL,0.911,Point Reyes SMCA,4971.966,1.3,299.5,False,6.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 06:00:10,37.959,-123.09
338108106,NAOS 400,0.91,Arrow Point to Lion Head Point SMCA,85.407,0.2,209.2,False,24.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 12:00:01,33.468,-118.525
338347197,338347197,0.893,Cat Harbor SMCA,106.375,0.6,360.0,False,6.0,0.0,prior_mpa_entries; dist_to_mpa_m; sog,2024-08-12 12:01:14,33.431,-118.507
338198613,LA BONNE VIE,0.891,Santa Barbara Island FMR,19923.11,6.7,322.8,False,16.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 18:00:51,33.655,-118.963
367104050,RYAN T,0.889,Kashtayit SMCA,11029.779,0.8,25.1,False,49.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 06:00:00,34.389,-120.118
338353394,OASIS V,0.889,Upper Newport Bay SMCA,1099.536,3.9,132.1,False,45.0,0.0,prior_mpa_entries; sog; peak_hour,2024-08-12 00:00:07,33.607,-117.902
366849310,DANA PRIDE,0.886,Dana Point SMCA,19923.249,11.1,312.8,True,27.0,0.0,prior_mpa_entries; traffic_within_10km; wave_height_m,2024-08-12 21:16:52,33.331,-117.553
338321364,BONNY BANKS,0.886,Laguna Beach SMCA (No-Take),10789.264,8.9,257.0,False,16.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 18:00:24,33.416,-117.876
367785170,PACIFICA,0.884,Point Lobos SMCA,9089.189,9.0,321.9,False,93.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 18:00:04,36.591,-122.087
368053530,JACKIE OH!,0.88,Soquel Canyon SMCA,2627.981,5.2,344.6,True,8.0,0.0,traffic_within_10km; sog; prior_mpa_entries,2024-08-12 18:00:12,36.776,-121.958
338177041,WIND ROSE,0.879,South La Jolla SMCA,8243.316,7.9,314.1,False,3.0,0.0,sog; traffic_within_10km; prior_mpa_entries,2024-08-12 00:00:36,32.742,-117.391
367302540,KIMBERLY C,0.879,Point Conception SMR,4691.769,6.0,306.3,False,2.0,0.0,sog; traffic_within_10km; prior_mpa_entries,2024-08-12 18:00:06,34.479,-120.573
338465636,THE KRAKEN,0.871,Santa Barbara Island SMR,1389.524,5.8,293.6,False,0.0,0.0,sog; traffic_within_10km; dist_to_mpa_m,2024-08-12 00:02:27,33.488,-119.019
338472118,LA MER,0.87,Point Dume SMR,10805.474,0.2,360.0,False,17.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 00:05:05,34.036,-118.672
338078421,MAHOUT,0.87,Point Vicente SMCA (No-Take),12666.308,6.4,297.4,False,16.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 00:00:30,33.677,-118.596
367005910,BLACKFIN,0.867,Portuguese Ledge SMCA,2864.654,1.8,267.5,True,132.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 18:00:19,36.719,-121.901
338395415,PANIA,0.867,Dana Point SMCA,107.801,4.7,287.6,False,16.0,0.0,sog; prior_mpa_entries; traffic_within_10km,2024-08-12 00:00:23,33.459,-117.704
367627130,SEA CLOUD,0.859,Arrow Point to Lion Head Point SMCA,148.379,0.1,139.6,False,6.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 12:01:08,33.452,-118.502
368021870,QUEST,0.855,Scorpion SMR,127.331,0.1,310.9,False,5.0,0.0,traffic_within_10km; prior_mpa_entries; dist_to_mpa_m,2024-08-12 16:06:18,34.046,-119.545
338219395,ZE GIRLS,0.854,Point Vicente SMCA (No-Take),1478.127,5.6,356.4,False,6.0,0.0,sog; prior_mpa_entries; traffic_within_10km,2024-08-12 18:00:28,33.691,-118.462
338302781,CF6223ZL,0.852,Lovers Point - Julia Platt SMR,11.865,0.1,360.0,False,21.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 13:03:15,36.62,-121.904
338162124,SPIRIT,0.843,Cat Harbor SMCA,162.091,0.3,159.5,False,3.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 12:02:13,33.426,-118.508
